100	100	100	733
8	201
4	200
5	209
17	203
33	212
6	213
2	214
20	202
3	228
7	210
9	215
10	211
11	273
12	220
1	230
22	279
23	270
24	216
13	231
18	238
14	229
34	232
25	217
26	221
35	249
36	243
19	204
28	222
21	218
27	219
16	223
29	250
37	226
15	224
30	263
0	251
58	233
38	252
39	225
59	227
40	253
46	247
72	234
41	254
42	235
50	236
43	278
44	255
45	266
60	237
47	239
61	256
54	206
48	257
49	287
51	258
55	240
62	241
79	205
63	242
64	260
89	244
52	245
53	246
56	261
57	259
65	286
66	262
67	248
68	264
69	265
70	267
71	268
73	269
74	271
75	272
76	289
77	292
78	274
80	275
81	276
82	208
83	277
84	284
85	288
86	296
87	293
88	207
90	290
91	282
92	298
93	280
94	294
95	281
96	283
97	291
98	295
99	297
4	103
5	104
6	105
7	106
22	125
8	107
17	108
9	109
10	110
33	111
2	112
11	113
12	114
3	115
16	160
37	116
13	117
14	118
15	119
23	120
18	121
19	122
20	123
21	124
24	126
25	127
26	128
27	129
28	130
29	131
30	132
1	133
0	134
58	135
59	136
34	137
50	138
40	139
35	140
70	141
60	142
36	143
51	144
61	145
43	146
38	147
39	148
41	149
54	150
42	151
62	152
44	153
45	154
46	102
47	155
65	156
63	157
64	158
48	159
31	161
32	162
49	163
66	164
67	165
68	166
95	167
98	168
81	169
69	170
71	171
72	172
73	173
74	174
75	175
52	176
76	177
77	178
78	179
79	180
80	181
82	182
83	183
53	184
84	185
85	186
86	101
87	100
88	197
89	199
90	190
91	194
92	188
93	196
94	187
96	192
97	198
99	189
103	200
104	203
105	249
106	204
107	205
108	206
109	207
110	208
111	209
112	210
113	211
114	248
115	230
116	212
117	213
118	220
119	228
120	214
102	221
121	222
125	223
122	231
123	215
149	216
124	217
126	218
127	224
133	245
128	280
129	252
130	219
131	225
132	232
134	226
135	227
136	202
137	281
158	264
138	274
139	201
140	241
101	229
141	282
100	260
180	283
148	275
181	266
150	253
182	278
144	284
178	285
146	234
145	286
162	242
151	243
172	287
179	272
161	247
147	262
186	288
198	273
164	254
142	289
176	244
